"DISTRICT_ID","GEO_ID","PROVINCE_ID","SUB_DISTRICT_CODE","SUB_DISTRICT_ID","SUB_DISTRICT_NAME"
484,3,32,"440802",4336,"ก้ามปู"
484,3,32,"440803",4337,"เวียงสะอาด"
484,3,32,"440804",4338,"เม็กดำ"
484,3,32,"440805",4339,"นาสีนวล"
484,3,32,"440806",4340,"*ดงเมือง"
484,3,32,"440807",4341,"*แวงดง"
484,3,32,"440808",4342,"*ขามเรียน"
484,3,32,"440809",4343,"ราษฎร์เจริญ"
484,3,32,"440810",4344,"หนองบัวแก้ว"
484,3,32,"440811",4345,"*นาภู"
484,3,32,"440812",4346,"เมืองเตา"
484,3,32,"440813",4347,"*บ้านกู่"
484,3,32,"440814",4348,"*ยางสีสุราช"
484,3,32,"440815",4349,"ลานสะแก"
484,3,32,"440816",4350,"เวียงชัย"
484,3,32,"440817",4351,"หนองบัว"
484,3,32,"440818",4352,"ราษฎร์พัฒนา"
484,3,32,"440819",4353,"เมืองเสือ"
484,3,32,"440820",4354,"ภารแอ่น"
485,3,32,"440901",4355,"หนองแสง"
485,3,32,"440902",4356,"ขามป้อม"
485,3,32,"440903",4357,"เสือโก้ก"
485,3,32,"440904",4358,"ดงใหญ่"
485,3,32,"440905",4359,"โพธิ์ชัย"
485,3,32,"440906",4360,"หัวเรือ"
485,3,32,"440907",4361,"แคน"
485,3,32,"440908",4362,"งัวบา"
485,3,32,"440909",4363,"นาข่า"
485,3,32,"440910",4364,"บ้านหวาย"
485,3,32,"440911",4365,"หนองไฮ"
485,3,32,"440912",4366,"ประชาพัฒนา"
485,3,32,"440913",4367,"หนองทุ่ม"
485,3,32,"440914",4368,"หนองแสน"
485,3,32,"440915",4369,"โคกสีทองหลาง"
485,3,32,"440997",4370,"*หนองไผ่"
485,3,32,"440998",4371,"*นาดูน"
485,3,32,"440999",4372,"*หนองคู"
486,3,32,"441001",4373,"นาดูน"
486,3,32,"441002",4374,"หนองไผ่"
486,3,32,"441003",4375,"หนองคู"
486,3,32,"441004",4376,"ดงบัง"
486,3,32,"441005",4377,"ดงดวน"
486,3,32,"441006",4378,"หัวดง"
486,3,32,"441007",4379,"ดงยาง"
486,3,32,"441008",4380,"กู่สันตรัตน์"
486,3,32,"441009",4381,"พระธาตุ"
487,3,32,"441101",4382,"ยางสีสุราช"
487,3,32,"441102",4383,"นาภู"
487,3,32,"441103",4384,"แวงดง"
487,3,32,"441104",4385,"บ้านกู่"
487,3,32,"441105",4386,"ดงเมือง"
487,3,32,"441106",4387,"ขามเรียน"
487,3,32,"441107",4388,"หนองบัวสันตุ"
488,3,32,"441201",4389,"กุดรัง"
488,3,32,"441202",4390,"นาโพธิ์"
488,3,32,"441203",4391,"เลิงแฝก"
488,3,32,"441204",4392,"หนองแวง"
488,3,32,"441205",4393,"ห้วยเตย"
489,3,32,"441301",4394,"ชื่นชม"
489,3,32,"441302",4395,"กุดปลาดุก"
489,3,32,"441303",4396,"เหล่าดอกไม้"
489,3,32,"441304",4397,"หนองกุง"
491,3,33,"450101",4398,"ในเมือง"
491,3,33,"450102",4399,"รอบเมือง"
491,3,33,"450103",4400,"เหนือเมือง"
491,3,33,"450104",4401,"ขอนแก่น"
491,3,33,"450105",4402,"นาโพธิ์"
491,3,33,"450106",4403,"สะอาดสมบูรณ์"
491,3,33,"450107",4404,"*ปาฝา"
491,3,33,"450108",4405,"สีแก้ว"
491,3,33,"450109",4406,"ปอภาร  (ปอพาน)"
491,3,33,"450110",4407,"โนนรัง"
491,3,33,"450111",4408,"*ดงสิงห์"
491,3,33,"450112",4409,"*สวนจิก"
491,3,33,"450113",4410,"*ม่วงลาด"
491,3,33,"450114",4411,"*โพธิ์ทอง"
491,3,33,"450115",4412,"*จังหาร"
491,3,33,"450116",4413,"*ดินดำ"
491,3,33,"450117",4414,"หนองแก้ว"
491,3,33,"450118",4415,"หนองแวง"
491,3,33,"450119",4416,"*ศรีสมเด็จ"
491,3,33,"450120",4417,"ดงลาน"
491,3,33,"450121",4418,"*หนองใหญ่"
491,3,33,"450122",4419,"*เมืองเปลือย"
491,3,33,"450123",4420,"แคนใหญ่"
491,3,33,"450124",4421,"โนนตาล"
491,3,33,"450125",4422,"เมืองทอง"
491,3,33,"450191",4423,"*ดงสิงห์"
491,3,33,"450192",4424,"*จังหาร"
491,3,33,"450193",4425,"*ม่วงลาด"
491,3,33,"450194",4426,"*ปาฝา"
491,3,33,"450195",4427,"*ดินดำ"
491,3,33,"450196",4428,"*สวนจิก"
491,3,33,"450197",4429,"*เมืองเปลือย"
491,3,33,"450198",4430,"*ศรีสมเด็จ"
491,3,33,"450199",4431,"*โพธิ์ทอง"
492,3,33,"450201",4432,"เกษตรวิสัย"
492,3,33,"450202",4433,"เมืองบัว"
492,3,33,"450203",4434,"เหล่าหลวง"
492,3,33,"450204",4435,"สิงห์โคก"
492,3,33,"450205",4436,"ดงครั่งใหญ่"
492,3,33,"450206",4437,"บ้านฝาง"
492,3,33,"450207",4438,"หนองแวง"
492,3,33,"450208",4439,"กำแพง"
492,3,33,"450209",4440,"กู่กาสิงห์"
492,3,33,"450210",4441,"น้ำอ้อม"
492,3,33,"450211",4442,"โนนสว่าง"
492,3,33,"450212",4443,"ทุ่งทอง"
492,3,33,"450213",4444,"ดงครั่งน้อย"
493,3,33,"450301",4445,"บัวแดง"
493,3,33,"450302",4446,"ดอกล้ำ"
493,3,33,"450303",4447,"หนองแคน"
493,3,33,"450304",4448,"โพนสูง"
493,3,33,"450305",4449,"โนนสวรรค์"
493,3,33,"450306",4450,"สระบัว"
493,3,33,"450307",4451,"โนนสง่า"
493,3,33,"450308",4452,"ขี้เหล็ก"
494,3,33,"450401",4453,"หัวช้าง"
494,3,33,"450402",4454,"หนองผือ"
494,3,33,"450403",4455,"เมืองหงส์"
494,3,33,"450404",4456,"โคกล่าม"
494,3,33,"450405",4457,"น้ำใส"
494,3,33,"450406",4458,"ดงแดง"
494,3,33,"450407",4459,"ดงกลาง"
494,3,33,"450408",4460,"ป่าสังข์"
494,3,33,"450409",4461,"อีง่อง"
494,3,33,"450410",4462,"ลิ้นฟ้า"
494,3,33,"450411",4463,"ดู่น้อย"
494,3,33,"450412",4464,"ศรีโคตร"
495,3,33,"450501",4465,"นิเวศน์"
495,3,33,"450502",4466,"ธงธานี"
495,3,33,"450503",4467,"หนองไผ่"
495,3,33,"450504",4468,"ธวัชบุรี"
495,3,33,"450505",4469,"*หมูม้น"
495,3,33,"450506",4470,"อุ่มเม้า"
495,3,33,"450507",4471,"มะอึ"
495,3,33,"450508",4472,"เหล่า*"
495,3,33,"450509",4473,"มะบ้า*"
495,3,33,"450510",4474,"เขวาทุ่ง"
495,3,33,"450511",4475,"*พระธาตุ"
495,3,33,"450512",4476,"บึงงาม*"
495,3,33,"450513",4477,"*บ้านเขือง"
495,3,33,"450514",4478,"*พระเจ้า"
495,3,33,"450515",4479,"ไพศาล"
495,3,33,"450516",4480,"เทอดไทย*"
495,3,33,"450517",4481,"เมืองน้อย"
495,3,33,"450518",4482,"โนนศิลา*"
495,3,33,"450519",4483,"*เชียงขวัญ"
495,3,33,"450520",4484,"บึงนคร"
495,3,33,"450521",4485,"*พลับพลา"
495,3,33,"450522",4486,"ราชธานี"
495,3,33,"450523",4487,"ทุ่งเขาหลวง*"
495,3,33,"450524",4488,"หนองพอก"
496,3,33,"450601",4489,"พนมไพร"
496,3,33,"450602",4490,"แสนสุข"
496,3,33,"450603",4491,"กุดน้ำใส"
496,3,33,"450604",4492,"หนองทัพไทย"
496,3,33,"450605",4493,"โพธิ์ใหญ่"
496,3,33,"450606",4494,"วารีสวัสดิ์"
496,3,33,"450607",4495,"โคกสว่าง"
496,3,33,"450608",4496,"*หนองฮี"
496,3,33,"450609",4497,"*เด่นราษฎร์"
496,3,33,"450610",4498,"*ดูกอึ่ง"
496,3,33,"450611",4499,"โพธิ์ชัย"
496,3,33,"450612",4500,"นานวล"
496,3,33,"450613",4501,"คำไฮ"
496,3,33,"450614",4502,"สระแก้ว"
496,3,33,"450615",4503,"ค้อใหญ่"
496,3,33,"450616",4504,"*สาวแห"
496,3,33,"450617",4505,"ชานุวรรณ"
497,3,33,"450701",4506,"แวง"
497,3,33,"450702",4507,"โคกกกม่วง"
497,3,33,"450703",4508,"นาอุดม"
497,3,33,"450704",4509,"สว่าง"
497,3,33,"450705",4510,"หนองใหญ่"
497,3,33,"450706",4511,"โพธิ์ทอง"
497,3,33,"450707",4512,"โนนชัยศรี"
497,3,33,"450708",4513,"โพธิ์ศรีสว่าง"
497,3,33,"450709",4514,"อุ่มเม่า"
497,3,33,"450710",4515,"คำนาดี"
497,3,33,"450711",4516,"พรมสวรรค์"
497,3,33,"450712",4517,"สระนกแก้ว"
497,3,33,"450713",4518,"วังสามัคคี"
497,3,33,"450714",4519,"โคกสูง"
497,3,33,"450794",4520,"*ชุมพร"
497,3,33,"450795",4521,"*เมยวดี"
497,3,33,"450796",4522,"*คำพอง"
497,3,33,"450797",4523,"*อัคคะคำ"
497,3,33,"450798",4524,"*เชียงใหม่"
497,3,33,"450799",4525,"*ขามเบี้ย"
498,3,33,"450801",4526,"ขามเปี้ย"
498,3,33,"450802",4527,"เชียงใหม่"
498,3,33,"450803",4528,"บัวคำ"
498,3,33,"450804",4529,"อัคคะคำ"
498,3,33,"450805",4530,"สะอาด"
498,3,33,"450806",4531,"คำพอุง"
498,3,33,"450807",4532,"หนองตาไก้"
498,3,33,"450808",4533,"ดอนโอง"
498,3,33,"450809",4534,"โพธิ์ศรี"
499,3,33,"450901",4535,"หนองพอก"
499,3,33,"450902",4536,"บึงงาม"
499,3,33,"450903",4537,"ภูเขาทอง"
499,3,33,"450904",4538,"กกโพธิ์"
499,3,33,"450905",4539,"โคกสว่าง"
499,3,33,"450906",4540,"หนองขุ่นใหญ่"
499,3,33,"450907",4541,"รอบเมือง"
499,3,33,"450908",4542,"ผาน้ำย้อย"
499,3,33,"450909",4543,"ท่าสีดา"
500,3,33,"451001",4544,"กลาง"
500,3,33,"451002",4545,"นางาม"
500,3,33,"451003",4546,"เมืองไพร"
500,3,33,"451004",4547,"นาแซง"
500,3,33,"451005",4548,"นาเมือง"
500,3,33,"451006",4549,"วังหลวง"
500,3,33,"451007",4550,"ท่าม่วง"
500,3,33,"451008",4551,"ขวาว"
500,3,33,"451009",4552,"โพธิ์ทอง"
500,3,33,"451010",4553,"ภูเงิน"
500,3,33,"451011",4554,"เกาะแก้ว"
500,3,33,"451012",4555,"นาเลิง"
500,3,33,"451013",4556,"เหล่าน้อย"
500,3,33,"451014",4557,"ศรีวิลัย"
500,3,33,"451015",4558,"หนองหลวง"
500,3,33,"451016",4559,"พรสวรรค์"
500,3,33,"451017",4560,"ขวัญเมือง"
500,3,33,"451018",4561,"บึงเกลือ"
501,3,33,"451101",4562,"สระคู"
501,3,33,"451102",4563,"ดอกไม้"
501,3,33,"451103",4564,"นาใหญ่"
501,3,33,"451104",4565,"หินกอง"
501,3,33,"451105",4566,"เมืองทุ่ง"
501,3,33,"451106",4567,"หัวโทน"
501,3,33,"451107",4568,"บ่อพันขัน"
501,3,33,"451108",4569,"ทุ่งหลวง"
501,3,33,"451109",4570,"หัวช้าง"
501,3,33,"451110",4571,"น้ำคำ"
501,3,33,"451111",4572,"ห้วยหินลาด"
501,3,33,"451112",4573,"ช้างเผือก"
501,3,33,"451113",4574,"ทุ่งกุลา"
501,3,33,"451114",4575,"ทุ่งศรีเมือง"
501,3,33,"451115",4576,"จำปาขัน"
502,3,33,"451201",4577,"หนองผือ"
502,3,33,"451202",4578,"หนองหิน"
502,3,33,"451203",4579,"คูเมือง"
502,3,33,"451204",4580,"กกกุง"
502,3,33,"451205",4581,"เมืองสรวง"
503,3,33,"451301",4582,"โพนทราย"
503,3,33,"451302",4583,"สามขา"
503,3,33,"451303",4584,"ศรีสว่าง"
503,3,33,"451304",4585,"ยางคำ"
503,3,33,"451305",4586,"ท่าหาดยาว"
504,3,33,"451401",4587,"อาจสามารถ"
504,3,33,"451402",4588,"โพนเมือง"
504,3,33,"451403",4589,"บ้านแจ้ง"
504,3,33,"451404",4590,"หน่อม"
504,3,33,"451405",4591,"หนองหมื่นถ่าน"
504,3,33,"451406",4592,"หนองขาม"
504,3,33,"451407",4593,"โหรา"
504,3,33,"451408",4594,"หนองบัว"
504,3,33,"451409",4595,"ขี้เหล็ก"
504,3,33,"451410",4596,"บ้านดู่"
505,3,33,"451501",4597,"เมยวดี"
505,3,33,"451502",4598,"ชุมพร"
505,3,33,"451503",4599,"บุ่งเลิศ"
505,3,33,"451504",4600,"ชมสะอาด"
506,3,33,"451601",4601,"โพธิ์ทอง"
506,3,33,"451602",4602,"ศรีสมเด็จ"
506,3,33,"451603",4603,"เมืองเปลือย"
506,3,33,"451604",4604,"หนองใหญ่"
506,3,33,"451605",4605,"สวนจิก"
506,3,33,"451606",4606,"โพธิ์สัย"
506,3,33,"451607",4607,"หนองแวงควง"
506,3,33,"451608",4608,"บ้านบาก"
507,3,33,"451701",4609,"ดินดำ"
507,3,33,"451702",4610,"ปาฝา"
507,3,33,"451703",4611,"ม่วงลาด"
507,3,33,"451704",4612,"จังหาร"
507,3,33,"451705",4613,"ดงสิงห์"
507,3,33,"451706",4614,"ยางใหญ่"
507,3,33,"451707",4615,"ผักแว่น"
507,3,33,"451708",4616,"แสนชาติ"
508,3,33,"451801",4617,"เชียงขวัญ"
508,3,33,"451802",4618,"พลับพลา"
508,3,33,"451803",4619,"พระธาตุ"
508,3,33,"451804",4620,"พระเจ้า"
508,3,33,"451805",4621,"หมูม้น"
